,circulating_supply,cmc_rank,date_added,id,last_updated,max_supply,name,num_market_pairs,platform,platform.id,platform.name,platform.slug,platform.symbol,quote.USD.last_updated,quote.USD.market_cap,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.price,quote.USD.volume_24h,slug,symbol,tags,total_supply
470,15202017859.6862,471,2018-08-10T00:00:00.000Z,3139,2018-12-09T00:53:32.000Z,,DxChain Token,5,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:32.000Z,2783097.6889793635,0.153779,-13.0463,-10.3846,0.000183074228347,117900.21757504,dxchain-token,DX,[],100000000000.0
471,1605601519.73482,472,2018-03-31T00:00:00.000Z,2621,2018-12-09T00:53:22.000Z,,Consensus,6,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:22.000Z,2772797.8952687094,0.032606,-3.54966,-6.42825,0.00172695270974,25744.4886620864,consensus,SEN,[],1650000000.0
472,29265074.799,473,2018-08-07T00:00:00.000Z,3094,2018-12-09T00:53:31.000Z,,Scorum Coins,5,,,,,,2018-12-09T00:53:31.000Z,2722169.4352575797,0.0434317,-6.15029,-29.826,0.0930176824749,7341.45055013146,scorum-coins,SCR,[],29265074.799
473,1080319438.61608,474,2017-03-30T00:00:00.000Z,1595,2018-12-09T00:54:09.000Z,5000000000.0,Soarcoin,1,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:54:09.000Z,2713385.4616586445,0.179919,1.24529,-25.8334,0.00251165105863,1045.69048317988,soarcoin,SOAR,[],5000000000.0
474,1999969999.15466,475,2018-04-17T00:00:00.000Z,2643,2018-12-09T00:53:25.000Z,,Sentinel,5,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:25.000Z,2702951.457997466,0.516019,17.5066,-5.29779,0.00135149600201,35702.4767701428,sentinel,SENT,[],1999970000.0
475,2618516000.0,476,2015-02-18T00:00:00.000Z,819,2018-12-09T00:54:06.000Z,50000000000.0,Bean Cash,5,,,,,,2018-12-09T00:54:06.000Z,2693699.656774428,1.84503,1.88902,-17.3059,0.00102871231521,48360.1791511489,bean-cash,BITB,[],2618516000.0
476,439170848.608991,477,2018-03-08T00:00:00.000Z,2571,2018-12-09T00:53:22.000Z,1844674407.0,Graft,5,,,,,,2018-12-09T00:53:22.000Z,2674629.0513412287,-0.0293521,5.85403,-31.2848,0.00609017893563,12621.4947639806,graft,GRFT,['mineable'],1159273848.60899
477,515923518.110662,478,2018-01-16T00:00:00.000Z,2410,2018-12-09T00:53:20.000Z,,SpaceChain,8,,1684.0,Qtum,qtum,QTUM,2018-12-09T00:53:20.000Z,2657390.9661455057,-3.6534,-1.32171,-23.9234,0.00515074593978,45245.6379271761,spacechain,SPC,[],1000000000.0
478,389009994.813552,479,2018-01-29T00:00:00.000Z,2480,2018-12-09T00:53:20.000Z,,HalalChain,6,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:20.000Z,2648420.178466707,-1.06711,2.33323,-11.4429,0.00680810316901,57641.4356225544,halalchain,HLC,[],1000000000.0
479,4574339416.619,480,2018-06-14T00:00:00.000Z,2862,2018-12-09T00:53:29.000Z,,Smartshare,10,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:29.000Z,2648321.3994280654,1.1335,32.709,51.8907,0.000578951660169,304629.681187304,smartshare,SSP,[],10000000000.0
480,24999999999.9829,481,2014-03-20T00:00:00.000Z,212,2018-12-09T00:54:04.000Z,25000000000.0,ECC,3,,,,,,2018-12-09T00:54:04.000Z,2621031.769523207,-0.286837,1.07094,-37.8856,0.000104841270781,502.145884446362,eccoin,ECC,[],24999999999.9829
481,710828182.466228,482,2018-10-12T00:00:00.000Z,3441,2018-12-09T00:53:36.000Z,,Divi,3,,,,,,2018-12-09T00:53:36.000Z,2607306.3378661717,-0.452777,5.30992,-30.8837,0.00366798391254,1227.407562112,divi,DIVI,['mineable'],745396984.084462
482,174162707.640473,483,2018-10-18T00:00:00.000Z,3466,2018-12-09T00:53:36.000Z,,Insureum,6,,1027.0,Ethereum,ethereum,ETH,2018-12-09T00:53:36.000Z,2602504.573669785,0.00254542,6.0734,0.643675,0.0149429496643,165459.440666548,insureum,ISR,[],297000000.0
